,router,nas,avana1,BigData,vmhost-cent,vmhost-bridge,vmguest-dev,vmguest-alien,vmhost-win,vmguest-w-cent,vmguest-w-cent,vmguest-w-cent,vmguest-w-cent,vmguest-w-win,user-mobil,printer,user-pc,usr-mobile
,192.168.1.1,192.168.1.2,192.168.1.11,192.168.1.15,192.168.1.21,192.168.1.23,192.168.1.24,192.168.1.25,192.168.1.40,192.168.1.41,192.168.1.42,192.168.1.43,192.168.1.44,192.168.1.45,192.168.1.100,192.168.1.103,192.168.1.104,192.168.1.116
192.168.1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
192.168.1.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192.168.1.11,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1
192.168.1.15,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
192.168.1.21,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
192.168.1.23,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
192.168.1.24,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
192.168.1.25,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0
192.168.1.40,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0
192.168.1.41,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
192.168.1.42,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
192.168.1.43,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
192.168.1.44,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
192.168.1.45,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
192.168.1.100,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
192.168.1.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
192.168.1.104,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
192.168.1.116,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Control 1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0
Control 2,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
Control 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control 20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUS1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
BUS2,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0
BUS3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
WTS,40,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
